Original Path
Q[6]{-1.52501, -1.97468, -0.561201, -3.55179, -0.26687, 2.03859}
Q[6]{-1.5305, -1.97883, -0.566078, -3.54339, -0.287127, 1.99446}
Q[6]{-1.53598, -1.98299, -0.570956, -3.535, -0.307385, 1.95032}
Q[6]{-1.54147, -1.98714, -0.575834, -3.5266, -0.327642, 1.90619}
Q[6]{-1.54696, -1.99129, -0.580711, -3.5182, -0.3479, 1.86205}
Q[6]{-1.55245, -1.99544, -0.585589, -3.5098, -0.368157, 1.81792}
Q[6]{-1.55793, -1.9996, -0.590466, -3.5014, -0.388415, 1.77378}
Q[6]{-1.56342, -2.00375, -0.595344, -3.49301, -0.408672, 1.72964}
Q[6]{-1.56891, -2.0079, -0.600222, -3.48461, -0.428929, 1.68551}
Q[6]{-1.5744, -2.01205, -0.605099, -3.47621, -0.449187, 1.64137}
Q[6]{-1.57989, -2.01621, -0.609977, -3.46781, -0.469444, 1.59724}
Q[6]{-1.58537, -2.02036, -0.614854, -3.45941, -0.489702, 1.5531}
Q[6]{-1.59086, -2.02451, -0.619732, -3.45102, -0.509959, 1.50897}
Q[6]{-1.59635, -2.02866, -0.62461, -3.44262, -0.530217, 1.46483}
Q[6]{-1.60184, -2.03282, -0.629487, -3.43422, -0.550474, 1.42069}
Q[6]{-1.60733, -2.03697, -0.634365, -3.42582, -0.570731, 1.37656}
Q[6]{-1.61281, -2.04112, -0.639242, -3.41742, -0.590989, 1.33242}
Q[6]{-1.6183, -2.04527, -0.64412, -3.40903, -0.611246, 1.28829}
Q[6]{-1.58718, -2.0388, -0.616018, -3.41292, -0.616358, 1.26262}
Q[6]{-1.59324, -2.04299, -0.620929, -3.40427, -0.636033, 1.21835}
Q[6]{-1.61609, -2.04326, -0.629642, -3.3714, -0.661215, 1.20467}
Q[6]{-1.6367, -2.00862, -0.64491, -3.35883, -0.661562, 1.18265}
Q[6]{-1.65796, -1.9705, -0.642924, -3.3593, -0.684668, 1.17513}
Q[6]{-1.64278, -1.92998, -0.646051, -3.34776, -0.679475, 1.15375}
Q[6]{-1.64769, -1.93619, -0.650674, -3.33916, -0.698723, 1.10934}
Q[6]{-1.65259, -1.9424, -0.655296, -3.33056, -0.717971, 1.06494}
Q[6]{-1.6575, -1.94861, -0.659919, -3.32196, -0.73722, 1.02054}
Q[6]{-1.6624, -1.95482, -0.664541, -3.31337, -0.756468, 0.976135}
Q[6]{-1.6673, -1.96103, -0.669163, -3.30477, -0.775716, 0.931733}
Q[6]{-1.67221, -1.96724, -0.673786, -3.29617, -0.794964, 0.88733}
Q[6]{-1.67711, -1.97345, -0.678408, -3.28757, -0.814212, 0.842927}
Q[6]{-1.68201, -1.97967, -0.68303, -3.27898, -0.83346, 0.798525}
Q[6]{-1.68692, -1.98588, -0.687653, -3.27038, -0.852708, 0.754122}
Q[6]{-1.69182, -1.99209, -0.692275, -3.26178, -0.871956, 0.709719}
Q[6]{-1.69673, -1.9983, -0.696897, -3.25318, -0.891204, 0.665317}
